Plant_Species,Life_History_Trait,Interim1_Prairie,Interim2_Prairie,Orbweaver1_Prairie,Orbweaver2_Prairie,Basswood1_Prairie,Basswood2_Prairie,Basswood3_Prairie,Basswood4_Prairie,Basswood5_Prairie
Glycine_max,XAD,0,0,0,0,0,0,0,0,0
Hibiscus_trionum,XAD,0,0.125,0,0,1.208333333,0.708333333,0,0,0.041666667
Ipomoea_hederacea,XAD,0,0,0,0,0.5,0,0,0,0
Thlaspi_arvense,XAD,0.041666667,0,0,0,0,0,0,0,0
Bromus_japonicus,XAM,0,0,0,0,0,0,0,0,0
Digitaria_ischaemum,XAM,0,0.25,0,0,0,0,0,0,0
Echinochloa_crusgalli,XAM,0.041666667,0,0.041666667,0,0,0,0.5,0,0
Poa_annua,XAM,0,0,0,0,0,0,0,0,0
Setaria_spp,XAM,16.875,34.375,42.29166667,33.375,47.91666667,21.41666667,12.25,21.16666667,12.58333333
Zea_mays,XAM,0,0,0,0,0,0,0,0,0
Arctium_minus,XBD,0.25,0,0,0,0,0,0,0,0
Barbarea_vulgaris,XBD,0,0,0,0,0,0,0,0,0
Cirsium_vulgare,XBD,0,0,0,0,0,0,0,0,0
Daucus_carota,XBD,2.041666667,1.416666667,2.791666667,1.833333333,2.541666667,2.875,4.333333333,1.75,0.958333333
Lactuca_serriola,XBD,0,0,0,0,0,0,0,0,0
Verbascum_thapsus,XBD,0,0,0,0,0,0.125,0,0,0.291666667
Cirsium_arvense,XPD,2.541666667,2.541666667,0.875,0,0,0,0,0,0
Convolvulus_arvensis,XPD,0,0,0,0,0,0,0,0,0
Euphorbia_cyparissias,XPD,0,0,0,0,0,0,0,0,0
Lespedeza_cuneata,XPD,0,0,0,0,0.041666667,0.041666667,0,0,0
Lotus_corniculatus,XPD,0,0,0,0,0,1.5,0,0,0.291666667
Medicago_lupulina,XPD,0,0,0,0,0,0,0,0,0
Medicago_sativa,XPD,7.708333333,2.041666667,0,6.125,0.083333333,0.083333333,0.291666667,1.375,0.541666667
Melilotus_spp,XPD,0.041666667,0.041666667,0,0,0,0,0,0,0
Pastinaca_sativa,XPD,0,1.25,1.125,4,0,0,0.041666667,0,0.041666667
Rumex_acetosella,XPD,0,0,0,0.041666667,0,0,0,0,0
Rumex_crispus,XPD,3.791666667,14.95833333,4.541666667,3.041666667,2.541666667,1,3.625,0.5,2.5
Sida_spinosa,XPD,0,0,1.208333333,0,0,0.041666667,0,0,0.083333333
Taraxacum_officinale,XPD,0.083333333,0,0.083333333,0.416666667,0.041666667,0,0,0.041666667,0
Trifolium_hybridum,XPD,0.875,0,0.041666667,0,0.291666667,2.791666667,3.5,0.541666667,0.583333333
Trifolium_repens,XPD,0,0,0,0,0,0,0,0,0
Trifolium_pratense,XPD,0.75,0,0,1.333333333,0,0.333333333,0.333333333,0.041666667,0
Agrostis_gigantea,XPM,0,0,0,0,0,0,0,0,0
Agrostis_stolonifera,XPM,0,0,0,0,0,0,0,0,0
Bromus_inermis,XPM,0,0.5,0,0.25,3.125,0,0,0,0
Dactylis_glomerata,XPM,0,0,0,0,0,0,0,0,0
Agropyron_repens,XPM,0.291666667,0,0,0,0,0,0,0,0
Festuca_arundinacea,XPM,0,0,0,0,0,0,0,0,0
Phleum_pratense,XPM,0,0,0,0,0,0,0,0,0
Poa_compressa_pratensis,XPM,0.041666667,1.25,12.75,9.666666667,0,1.25,1.5,0.25,1.5
Sonchus_spp,X_D,0,0,0,0,0,0,0,0,0
Sanicula_spp,NB_PD,0,0,0,0,0,0,0,0,0
Lepidium_spp,_BD,0,0,0,0,0,0,0,0,0
Cerastium_spp,_PD,0,0,0,0,0,0,0,0,0
Lonicera_spp,_PD,0,0,0,0,0,0,0,0,0
Morus_spp,_PD,0.291666667,0,0,0,0,0,0,0,0
Rosa_spp,_PD,0,0,0,0,0,0,0,0,0
Helianthus_spp,N_D,0,0,0,0,0,0,0,0,0
Aster_spp,D,0,0,0,0,0,0,0,0,0
Erigeron_spp,N_D,0,0,0,0,0,0,0,0,0
Lactuca_spp,D,0,0,0,0,0,0,0,0,0
solidago_spp,NPD,0,0,0,0,0,0,0,0,0
Physalis_spp,NPD,0,0,0,0,0,0,0,0,0
Ulmus_spp,PD,0,0,0,0,0,0,0,0,0
Verbena_spp,NPD,0,0,0,0,0,0,0,0,0
Apiacea_spp,D,0,0,0,0,0,0,0,0,0
Asteraceae_spp,D,0,0,0,0,0,0,0,0,0
Unknown_tree,PD,0,0,0,0,0,0,0,0,0
Unknown_dicot,D,0.166666667,0.375,0.583333333,0.125,0.583333333,0.041666667,0.166666667,0.083333333,0.375
Bromus_spp,M,0,0,0,0,0,0,0,0,0
Sporobolus_spp,N_M,0,0,0,0,0,0,0,0,0
Cyperaceae_spp,M,0,0,0,0,0,0,0,0,0
Poaceae_spp,M,0,0,0,0,0,0,0,0,0
