Plant_Species,Life_History_Trait,Interim1_crop,Interim2_crop,Interim3_crop,Orbweaver1_crop,Orbweaver2_crop,Orbweaver3_crop,Basswood1_crop,Basswood2_crop,Basswood3_crop,Basswood4_crop,Basswood5_crop,Basswood6_crop
Cerastium_spp,_PD,0,0,0,0,0,0,0,0,0,0,0,0
Lonicera_spp,_PD,0,0,0,0,0,0,0,0,0,0,0,0
Morus_spp,_PD,0.041666667,0,0,0,0,0,0,0,0,0,0,0
Erigeron_spp,,0,0,0,0,0,0,0,0,0,0,0,0
Ulmus_spp,,0,0,0,0,0,0,0,0,0,0,0.041666667,0
Asteraceae_spp,,0,0,0,0,0,0,0,0,0,0,0,0
Brassicaceae_spp,,0,0,0,0,0,0,0,0,0,0,0,0
Caprifoliaceae_spp,,0,0,0,0,0,0,0,0,0,0,0,0
Unknown_tree,,0,0,0,0,0,0,0.041666667,0,0,0,0,0
Unknown_dicot,,0,0,0,0,0,0,0,0,0,0.041666667,0,0.041666667
Cyperaceae_spp,,0,0,0,0,0,0,0,0,0,0,0,0
Poaceae_spp,,0,0,0,0,0,0,0,0,0,0,0,0
